ToolID,ToolName,ToolType,Diameter_mm,Flutes,CutLength_mm,Shank_mm,RPM,Feed_mm_per_min,Stepover_pct,Material,Notes
4c065674-20ee-4214-898c-58b93792b97f,"{Tool Type} ({Side Angle|.0}°, Tip {Flat Diameter} - {Diameter|F}{Units Short})",4,6,1,,,10000,45720,0.05,Acrylic,
54ae2afb-28db-4ba2-bc93-bb64e98b78e2,{Tool Type} ({Diameter|F}{Units Short}),1,1,2,,,18000,17780,0.25,Acrylic,
560080b2-8324-4b14-8d25-dad54e0a14eb,{Tool Type} ({Included Angle|.0}° - {Diameter|F}{Units Short}),3,6.35,2,,,10000,70,0.005,Acrylic,
5f786ec2-579a-43de-853b-02e1bbbcbfe3,{Tool Type} ({Included Angle|.0}° - {Diameter|F}{Units Short} - {Line Width}{Units Short} Line Width),9,3,,,,10000,32385,0.30000000000000004,Acrylic,
73861fdb-12d5-4622-8d11-6ba92b500030,{Tool Type} ({Diameter|F}{Units Short}),1,6.35,2,,,10000,120,0.1,Acrylic,
78a54372-43ae-4688-9c3c-a0161b21b43c,{Tool Type} ({Included Angle|.0}° - {Diameter|F}{Units Short}),3,6,2,,,10000,45720,0.12,Acrylic,
81d48546-b825-4395-b489-0bd1cccf588d,{Tool Type} ({Diameter|F}{Units Short}),0,6,2,,,10000,76200,0.48,Acrylic,
8c64bdc7-a4ac-4111-9911-d690a409e8c9,"{Tool Type} ({Side Angle|.0}°, Tip {Flat Diameter} - {Diameter|F}{Units Short})",4,3.175,1,,,10000,50,0.001,Acrylic,
8dd3c0d8-30fe-424e-bec0-1a1667321983,{Tool Type} ({Included Angle|.0}° - {Diameter|F}{Units Short}),3,12.7,2,,,10000,80,0.01,Acrylic,
8e0c4086-367b-461e-89ed-eed2ae7dacb1,{Tool Type} ({Diameter|F}{Units Short}),1,1.5,2,,,18000,22860,0.44999999999999996,Acrylic,
8eb19ce0-34c1-4841-a478-c6a8cf59d155,{Tool Type} ({Included Angle|.0}° - {Diameter|F}{Units Short}),6,6.35,2,,,10000,,,Acrylic,
908ee7c2-91a7-4f2f-a23e-3dfd94fd4f3b,{Tool Type} ({Included Angle|.0}° - {Diameter|F}{Units Short}),3,12,2,,,14000,19050,0.24,Acrylic,
931dce75-e398-4a1f-8b90-45871e8aeccc,{Tool Type} ({Diameter|F}{Units Short}),0,3,2,,,10000,41910,0.24,Acrylic,
a0ccfd2c-92a9-4843-b121-a4acb77d443a,{Tool Type} ({Diameter|F}{Units Short}),0,3.175,2,,,10000,65,0.01,Acrylic,
a1527fe3-e794-4c81-adac-72bf56bef673,{Tool Type} ({Diameter|F}{Units Short}),0,1.5875,2,,,18000,35,0.005,Acrylic,
a8884c55-0191-455e-81de-c5b20021ce4c,{Tool Type} ({Diameter|F}{Units Short}),0,0.79375,2,,,18000,25,0.0025,Acrylic,
aec2b864-c756-4b3b-9f69-21ad3dade020,Ogee - 6mm Rads 32mm Dia 12mm Deep,8,32,2,,,10000,45720,4.8,Acrylic,
b47d33d2-fe1f-4efe-8d8f-9258375b12cf,{Tool Type} ({Diameter|F}{Units Short}),1,1.5875,2,,,18000,35,0.01875,Acrylic,
be7493f9-8b8f-4771-b8c7-6437fbaf0b29,{Tool Type} ({Diameter|F}{Units Short}),1,3.175,2,,,10000,65,0.05,Acrylic,
c6419995-6705-4cfa-ba57-3a51e5852212,{Tool Type} ({Diameter|F}{Units Short}),0,1,2,,,18000,17780,0.08,Acrylic,
c702876f-6690-4252-a694-c11d46f6ef67,"{Tool Type} ({Side Angle|.0}°, Tip {Flat Diameter} - {Diameter|F}{Units Short})",4,3,1,,,10000,32385,0.025,Acrylic,
c931271c-c6e2-4bf3-bd6e-18205002f9b7,{Tool Type} ({Diameter|F}{Units Short}),0,6.35,2,,,10000,120,0.02,Acrylic,
e7d1bcf1-9e21-461e-bf68-630d6d0f351b,Roundover -  9mm Rad 25mm Dia 12mm Deep,8,25,2,,,10000,45720,3.75,Acrylic,
f2c83073-38d0-40b4-a0e2-93448d110951,{Tool Type} ({Included Angle|.0}° - {Diameter|F}{Units Short}),3,12,2,,,10000,50800,0.24,Acrylic,
ff69eff0-0b17-47f8-9e65-dd81cfac132d,{Tool Type} ({Diameter|F}{Units Short}),1,3,2,,,10000,41910,1.2000000000000002,Acrylic,
042aab09-6e04-4bde-9b9a-9638084868d3,{Tool Type} ({Diameter|F}{Units Short}),0,9.524999999999999,2,,,10000,200,0.03,Acrylic,
123678ad-fa24-40c7-aa29-a60859b6a157,{Tool Type} ({Diameter|F}{Units Short}),0,12,2,,,10000,142240,0.96,Acrylic,
16a3a863-5a98-44e4-a978-819863a7b81c,{Tool Type} ({Diameter|F}{Units Short}),1,9,2,,,10000,127000,3.6,Acrylic,
4b7dba68-67df-4d15-a5c8-42d53951ed54,{Tool Type} ({Diameter|F}{Units Short}),0,9,2,,,10000,127000,0.72,Acrylic,
61109137-1e80-4b85-bb09-987ea06468e2,{Tool Type} ({Included Angle|.0}° - {Diameter|F}{Units Short}),6,5,2,,,10000,0,,Acrylic,
6fc93fa5-4c2c-4b40-81cd-96119a91fa6f,{Tool Type} ({Included Angle|.0}° - {Diameter|F}{Units Short}),3,31.75,2,,,10000,80,0.025,Acrylic,
9c9e1482-0e4f-4408-9530-0db4b869d111,{Tool Type} ({Diameter|F}{Units Short}),0,12.7,2,,,10000,220,0.04,Acrylic,
a414f3d6-7280-49cc-8d4f-207e64f52137,{Tool Type} ({Included Angle|.0}° - {Diameter|F}{Units Short}),6,8,2,,,10000,,,Acrylic,
bf315778-0162-4803-a553-a65b376d746f,{Tool Type} ({Included Angle|.0}° - {Diameter|F}{Units Short}),3,32,2,,,10000,50800,0.64,Acrylic,
d7fd394e-afa7-47bc-8b73-47b18726ad76,{Tool Type} ({Diameter|F}{Units Short}),1,12,2,,,10000,142240,4.800000000000001,Acrylic,
e1cb82cf-aecf-4539-8a4f-1a20a6f6ae58,{Tool Type} ({Diameter|F}{Units Short}),1,12.7,2,,,10000,220,0.2,Acrylic,
f75ef6d3-40e2-477b-ad9d-5b4d7d6e8236,{Tool Type} ({Diameter|F}{Units Short}),1,9.524999999999999,2,,,10000,200,0.15000000000000002,Acrylic,
